Unnamed: 0.1,Unnamed: 0,year,lifeExp,pop,gdpPercap
564,564,1952,67.5,69145952,7144.114393
565,565,1957,69.1,71019069,10187.82665
566,566,1962,70.3,73739117,12902.46291
567,567,1967,70.8,76368453,14745.62561
568,568,1972,71.0,78717088,18016.18027
569,569,1977,72.5,78160773,20512.92123
570,570,1982,73.8,78335266,22031.53274
571,571,1987,74.847,77718298,24639.18566
572,572,1992,76.07,80597764,26505.30317
573,573,1997,77.34,82011073,27788.88416
574,574,2002,78.67,82350671,30035.80198
575,575,2007,79.406,82400996,32170.37442
